Id,Designator,Package,Quantity,Designation,Supplier and ref,
1,R10,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,1,2.7ohm,ERJ1TRQF2R7U,https://lcsc.com/product-detail/Current-Sense-Resistors-Shunt-Resistors_PANASONIC-ERJ1TRQF2R7U_C713428.html
2,"R5,R3,R1,R2,R7,R8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,6,1k,ERJ6GEYJ102V,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_PANASONIC-ERJ6GEYJ102V_C278655.html
3,"R6,R4,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,3,10k,ERJ6GEY J103V,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_PANASONIC-ERJ6GEYJ103V_C180849.html
4,"C1,C2",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,10 uF,CL21B106KPQNNNE,
5,C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,100 nF,CL21B104KCFNNNE,
6,D5,LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O1.27mm_Z1.6mm,1,LED RED,L-204SRD,https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_PARALIGHT-L-204SRD_C2917798.html
7,D6,LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O1.27mm_Z1.6mm,1,LED GREEN,L-204GD,https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_PARALIGHT-L-204GD_C2917799.html
8,"D2,D1",LED_D3.0mm_FlatTop,2,LED,204-10SURD/S530-A3-L,https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_Everlight-Elec-204-10SURD-S530-A3-L_C99771.html
9,"D4,D3",D_SMA,2,1N4004,1N4004,https://lcsc.com/product-detail/Diodes-General-Purpose_YONGYUTAI-1N4004_C2892672.html
10,"Q2,Q1",SOT-23,2,2N7002E,2N7002E,https://lcsc.com/product-detail/MOSFETs_Slkor-SLKORMICRO-Elec-2N7002E_C350312.html
11,U1,MODULE_ESP32-DEVKITC-32U,1,ESP32-DEVKITC-32U,,https://es.aliexpress.com/item/4000093185394.html?gatewayAdapt=glo2esp&spm=a2g0o.cart.0.0.1d953c00DOZ5EZ&mp=1
12,U2,SOT-23-6,1,LMP8640,LMP8640MK-F/NOPB,https://lcsc.com/product-detail/Current-Sensing-Amplifiers_Texas-Instruments-LMP8640MK-F-NOPB_C201972.html
13,"K2,K1",Relay_SPDT_Omron_G5V-1,2,G5V-1,G5V-1-DC5,https://lcsc.com/product-detail/Signal-Relays_Omron-Electronics-G5V-1-DC5_C152705.html
14,"J2,J1",PinSocket_1x19_P2.54mm_Vertical,2,Conn_01x19_Female,C319202,https://lcsc.com/product-detail/Female-Headers_BOOMELE-Boom-Precision-Elec-C319202_C319202.html
15,"J4,J3,J5,J6",TerminalBlock__1x02_P5.00mm_90Degree,4,KF2EDGRC-5.0-2P,KF2EDGRC-5.0-2P,https://lcsc.com/product-detail/Pluggable-System-Terminal-Block_Cixi-Kefa-Elec-KF2EDGRC-5-0-2P_C441225.html
16,"J4,J3,J5,J6",TerminalBlock__1x02_P5.00mm_90Degree Female,4,KF2EDGK-5.0-2P,KF2EDGK-5.0-2P,https://lcsc.com/product-detail/Pluggable-System-Terminal-Block_Cixi-Kefa-Elec-KF2EDGK-5-0-2P_C440869.html
17,SW1,SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,1,SW_DIP_x01,PTS645VH582LFS,https://lcsc.com/product-detail/Tactile-Switches_C-K-PTS645VH582LFS_C285512.html
18,M1,DC-DC_Buck_Step_Module,1,DC-DC_Buck_Step_Module-dc-dc_module,,https://es.aliexpress.com/item/1005003515877710.html?gatewayAdapt=glo2esp&spm=a2g0o.cart.0.0.dd563c00bWDL0i&mp=1
19,,"Antena WiFi de 2,4 GHz y 3dBi, ",1,"Antena WiFi de 2,4 GHz y 3dBi, ",,https://es.aliexpress.com/item/1005001837112551.html?spm=a2g0o.productlist.0.0.7bc136cb10EuDl&algo_pvid=1e27b41c-1598-4126-8fc7-3f2b4e0952d5&aem_p4p_detail=202201161104022433341294049600019294359&algo_exp_id=1e27b41c-1598-4126-8fc7-3f2b4e0952d5-24&pdp_ext_f=%7B%22sku_id%22%3A%2212000017802413653%22%7D&pdp_pi=-1%3B1.35%3B-1%3BEUR+0.42%40salePrice%3BEUR%3Bsearch-mainSearch
20,,ESP32-WROOM-32U,1,ESP32-DevKitC V4,ESP32-WROOM-32U,
